# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP251
# prediction_type;rolling
# method; GFSM_(n_components=2)
"GDP251";"LHEL";"FYGT1"
85.288;82.3333333333333;5.78333333333333
86.285;84.6666666666667;5.48
86.952;87;5.64666666666667
88.274;85.3333333333333;5.85
89.373;87;5.54
90.032;89.3333333333333;5.48333333333333
91.028;91.3333333333333;5.31333333333333
91.63;90.3333333333333;5.41
92.685;89;5.09333333333333
94.093;87;4.39
94.892;91.3333333333333;4.66333333333333
95.677;87.3333333333333;4.88
96.794;85;5.16
98.514;86;5.60666666666667
98.764;89;6.18666666666667
100.315;84.6666666666667;6.21666666666667
100.2;79.3333333333333;6.13
100.721;77;5.9
100.597;72;4.59666666666667
100.906;61;3.78
100.551;54.3333333333333;3.30333333333333
100.948;46;2.24333333333333
101.633;46;2.32
102.186;46;2.34333333333333
102.788;42.6666666666667;1.81333333333333
102.84;39.6666666666667;1.53
103.148;40.3333333333333;1.3
104.031;37;1.15333333333333
105.926;37.3333333333333;1.22333333333333
106.621;37.3333333333333;1.3
107.402;39;1.22333333333333
108.325;38.3333333333333;1.77666666666667
109.287;37;2.08
109.977;37;2.46666666666667
110.786;40.6666666666667;3.06333333333333
111.502;38.6666666666667;3.33666666666667
112.56;37.6666666666667;3.78666666666667
112.928;37.6666666666667;4.28666666666667
114.264;38;4.63333333333333
115.022;33;5.02
115.25;29.6666666666667;5.09
115.681;30.3333333333333;4.98666666666667
115.696;30;5.01
117.056;27.3333333333333;4.93333333333333
118.425;24;4.52333333333333
118.374;21.6666666666667;3.62
118.631;20.6666666666667;2.1
119.46;17.6666666666667;2.07333333333333
119.308;15.3333333333333;2.12333333333333
117.369;13.3333333333333;0.993333333333333
