# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP253
# prediction_type;rolling
# method; GFSM_(n_components=3)
"GDP253";"GDP255";"GDP274_2";"Sfygt10"
46.312;62.744;144.706;1.46333333333333
50.432;63.281;144.534;1.78333333333333
49.65;63.941;144.508;1.91
46.485;64.93;145.462;1.65666666666667
48.465;65.544;144.95;2.68666666666667
50.486;66.153;144.599;2.83333333333333
49.029;66.743;144.156;3.26
51.511;67.599;144.307;2.69333333333333
51.532;68.069;144.855;2.7
50.865;68.901;144.655;2.09
52.289;69.453;144.74;1.23
51.966;69.909;144.371;0.666666666666667
52.71;70.236;143.463;0.363333333333333
53.901;70.662;144.068;0.263333333333333
52.168;71.414;143.992;0.253333333333333
54.545;71.612;143.769;0.663333333333333
52.737;72.528;143.301;0.93
52.178;73.11;143.067;1.22666666666667
50.666;73.082;142.567;1.40666666666667
49.187;73.007;142.671;1.99333333333333
49.444;73.732;142.3;2.57
50.226;74.038;141.554;2.56333333333333
49.398;74.47;140.721;2.80666666666667
51.33;75.355;140.935;3.41
51.735;76.05;140.244;3.69666666666667
52.861;76.768;139.293;3.53333333333333
53.953;77.343;138.868;3.67333333333333
54.483;77.73;137.555;3.32
56.316;78.024;137.274;3.02333333333333
56.998;78.902;136.763;2.61333333333333
58.509;79.501;136.697;2.54666666666667
59.917;80.226;136.613;2.82333333333333
60.617;80.631;136.686;3.09666666666667
61.281;81.088;136.473;2.85666666666667
63.469;81.472;134.661;2.55666666666667
62.233;81.992;133.976;1.74666666666667
62.956;82.752;132.733;1.02333333333333
64.83;83.323;131.344;0.956666666666667
66.026;83.827;129.599;0.633333333333333
66.736;84.662;128.314;0.98
68.938;85.149;126.162;1.7
69.508;85.688;124.96;1.68333333333333
70.919;86.18;123.066;1.36666666666667
72.965;86.992;121.207;1.50333333333333
72.731;87.733;119.205;1.65
76.065;88.717;117.404;1.19666666666667
77.98;89.635;115.966;0.816666666666667
78.327;90.663;114.324;0.533333333333333
81.947;91.68;113.169;0.62
84.228;92.701;110.565;0.38
89.226;92.998;108.464;0.416666666666667
88.891;94.083;106.988;0.576666666666667
93.085;95.155;105.518;1.08666666666667
95.066;96.269;103.916;1.23333333333333
95.725;97.103;102.293;1.09666666666667
101.097;98.53;101.51;0.96
98.609;99.474;100.677;0.463333333333333
100.056;100.521;99.595;-0.123333333333333
100.238;101.475;98.217;-0.45
101.877;101.758;96.407;0.233333333333333
101.802;102.218;94.639;1.61
102.576;102.519;93.251;1.81
111.051;103.114;91.939;2.86333333333333
109.858;103.579;90.229;3.35333333333333
110.84;104.247;89.384;3.38333333333333
113.908;104.585;88.188;2.61666666666667
112.404;105.055;86.95;2.67333333333333
112.521;105.458;85.7;2.76333333333333
116.971;105.917;84.02;2.58
121.579;106.664;82.172;3.30333333333333
121.783;107.415;81.464;3.37
123.502;108.502;81.012;3.10333333333333
124.094;109.309;80.38;3.52333333333333
126.432;110.088;79.382;2.81666666666667
128.58;111.003;78.9;2.16666666666667
128.761;111.465;78.118;1.76
132.478;111.946;77.609;1.29666666666667
134.236;112.995;76.244;0.853333333333333
130.112;113.696;75.419;0.663333333333333
135.877;114.149;74.614;0.176666666666667
136.485;114.938;73.79;0.366666666666667
137.652;115.495;72.879;-0.01
139.081;116.612;72.043;-0.273333333333333
142.162;117.494;71.27;-0.303333333333333
143.894;117.916;70.554;0.11
144.72;118.605;69.426;0.426666666666667
144.856;119.02;68.445;0.87
143.284;119.739;68.115;1.62
142.273;119.937;67.161;2.26
136.695;119.916;66.716;2.37
128.413;120.376;65.972;2.95666666666667
